head,date,text,景気,物価,金利,マネーサプライ,貿易収支,雇用,個人消費,介入,要人発言,他通貨,石油,政治,株,債権
寄り付き前の外資系証券経由の注文状況　差し引き130万株の売り越し観測,2009年6月1日（月）08:34:00,"差し引き130万株の売り越し観測
売り注文　1710万株
買い注文　1580万株",,,,,,,,,,,,,,
日経平均　寄り付き　5.01円安　9517.49円,2009年6月1日（月）09:01:00,,,,,,,,,,,,,,,
今週の新規投信設定情報,2009年6月1日（月）09:20:00,"2009/06/05

ファンド名／投信会社／募集総額（百万円）

CAフローラ条件付運用型ファンド2009-6（日経平均株価判定型）／クレディ・アグリコルアセットマネジメント／5000",,,,,,,,,,,,,,
東京市場　豪ドル/ドル、上昇チャネル上限で押し戻される,2009年6月1日（月）09:24:00,"豪ドル/ドルは0.8000ちょうど前後で推移。早朝には0.8040付近まで上昇し年初来高値を更新したものの、先週末のNYクローズ水準まで推し戻されている。3月からの上昇チャネル上限に達しており、調整も意識されるところ。

この後は10:30に豪小売売上高が発表される。前回（3月）の前月比2.2％の伸びから鈍化すると予想されている。

AUD/USD 0.7997",,,,,,,,,,,,,,
東京市場　序盤、クロス円はドル円に追随　GM問題で波乱見られず,2009年6月1日（月）09:44:00,"序盤のクロス円は小動き。ユーロ円は134円台中盤、ポンド円は154円ちょうど付近で推移。GMが本日破産法を申請すると伝えられている中、日経平均株価や米株価先物に目立った動きはなく、クロス円はドル円に追随。日経平均は先週末終値水準で推移している。
このところは、円買いの巻き戻しではなく、ドル買いの巻き戻しが中心で、クロス円に主体的な動きはあまり見受けられない。ただ、リスク選好型の展開で、下値懸念は限られている。

EUR/JPY 134.46 GBP/JPY 154.08",,,,,,,,,,,,,,
東京仲値　94.97円　三菱東京UFJ銀行,2009年6月1日（月）09:56:00,,,,,,,,,,,,,,,
東京市場　ドル円95円割れ、仲値公示を挟んで売り強まる,2009年6月1日（月）10:10:00,"ドル円は先週末までのドル安の流れを引き継いで、95円割れまで下落。先週末の安値から95円台半ばまで戻す場面もあったが、仲値公示にかけて売りが強まった。その他の通貨でもドル安推移が見受けられる。

1月からの反発局面一服後、101円台半ばの高値の半値押しに当たる94.25水準でサポートされたものの、再度この水準へトライすることになるか注目どころ。

USD/JPY 94.91",,,,,,,,,,,,,,
米株価指数先物　時間外取引　GMは破産法の申請へ,2009年6月1日（月）10:18:00,"東京時間10:06現在
ダウ平均先物6月限　8485.00（-3.00　-0.04%）
S&P500;先物6月限　918.30（+0.20　+0.02%）
NASDAQ100先物6月限　1430.75（-4.75　-0.33%）

米株価指数先物は時間外取引で小幅安。

先週末のNY株式市場は終盤に買いが強まり上昇して取引を終えた。本日はNY朝方にGMが破産法の申請を行う予定と伝えられており、米大統領はNY時間11時55分からGMについて演説をする予定。WSJはGMとクライスラーの両社が破綻申請をすれば長期的には米経済を押し上げる可能性があると指摘している。先週末のGMは1ドルを割り0.75ドルで取引を終えた。
今夜は米個人所得・消費支出、米ISM製造業景気指数の発表も控えている。今週は豪中銀、英中銀、ECB、カナダ中銀の政策金利が相次いで発表される予定。",,,,,,,,,,,,,,
中国人民銀行　人民元中心レート　1ドル＝6.8317元,2009年6月1日（月）10:19:00,,,,,,,,,,,,,,,
豪経済指標【小売売上高】,2009年6月1日（月）10:30:00,"小売売上高（4月）10:30
結果　0.3%
予想　0.5%　前回　2.2%（前月比）",,,,,,,,,,,,,,
東京市場　先週末からのドル安が継続、豪小売売上高は市場予想下回る,2009年6月1日（月）10:36:00,"ドル売り・円買いの流れの中で、その他の通貨にもドル安が波及。ポンドドルは1.62台前半まで、豪ドル/ドルは0.80台半ばまで上昇した。NY原油や日経平均が上昇するなど、リスク選好型のドル売りが継続している様子。ただ、豪ドル/ドルは先程発表されが豪小売売上高が予想ほど伸びなかったことで、売りも入っている。

AUD/USD 0.8039 GBP/USD 1.6216",,,,,,,,,,,,,,
NY原油　時間外取引　7ヶ月ぶりの高値を更新、ドル安進展で,2009年6月1日（月）10:37:00,"東京時間10:37現在
NY原油先物7月限（WTI）（時間外取引）
1バレル＝66.78（+0.47　+0.71%）

NY原油先物は時間外取引で66台後半まで上昇、7ヶ月ぶりの高値を更新した。景気の先行き不安後退やドル安が原油高につながっている。ドルインデックスは昨年12月18日以来の低水準で推移。",,,,,,,,,,,,,,
東京金　NY市場は堅調ながらドル円の下げで弱含み,2009年6月1日（月）10:49:00,"東京時間10:44現在
東京金先物2010年4月限（TOCOM）
1グラム＝3004.00（-15.00　-0.50%）
NY金先物8月限（COMEX）（時間外取引）
1オンス＝983.80（+3.50　+0.36%）

NY金は時間外取引では小幅高。ドルが売られていることで金には買いが入った。ただ、東京金は円高の影響もあって小安い。",,,,,,,,,,,,,,
日経平均　前引け　75.08円高　9597.58円,2009年6月1日（月）11:01:00,,,,,,,,,,,,,,,
東京市場　オバマ政権の高官、GMは1日に連邦破産法を申請へ,2009年6月1日（月）11:15:00,"オバマ政権の高官の発言が伝えられている。GMは1日に連邦破産法を申請へ、GMは破産法手続きを60～90日で完了へ、米財務省はGMに301億ドルのつなぎ融資を行う、カナダ政府とオンタリオ州政府もGMに95億ドル融資、など。GM問題についてはあらかた織り込まれており、為替市場の反応は見られない。ただ、あく抜けするシナリオを想定する必要もありそうだ。

ドル円は下げ一服し、94円台後半で推移。その他の通貨でもドル安推移は一巡している。
USD/JPY 94.87",,,,,,,,,,,,,,
アジア株　上昇して始まる、資源株中心に買い,2009年6月1日（月）11:18:00,"東京時間11:07現在
香港ハンセン指数　　 18552.19（+381.19　+2.13%）
中国上海総合指数　 2682.10（+49.17　+1.87%）
台湾加権指数　　　　 6946.67（+56.23　+0.82%）
韓国総合株価指数　 1396.19（+0.30　+0.02%）
豪ASX200指数　　　 3869.00（+50.90　+1.33%）

連休明けのアジア株は買いが先行。金融株や石油関連株を中心に上昇している。本日の朝方に発表された中国5月の製造業PMIが景気判断の分かれ目である50を3ヶ月連続で上回ったことをや、原油価格が7ヶ月ぶりの高値を更新したことを好感されている。石油大手のペトロチャイナなどが堅調に推移。",,,,,,,,,,,,,,
東京市場　ガイトナー米財務長官、中国は輸出依存度を減らし内需を拡大すべき,2009年6月1日（月）11:32:00,"ガイトナー米財務長官の発言内容が伝えられている。米中は経済成長モデルを変えるべき、中国は輸出依存度を減らし内需を拡大すべき、内需主導型経済には柔軟な為替制度が必要、世界的なリセッションは後退しているが今なお脅威は残る、など。

米株価先物がしっかりと推移していることで、クロス円が下げ渋っているほか、その他の通貨ではドル売りも引き続き見受けられる。ダウ平均先物は30ポイント超上昇。オバマ政権関係者の発言で、GM破綻の詳細が伝わると株式市場への買いが強まったとの指摘も。

EUR/USD 1.4160 GBP/USD 1.6242",,,,,,,,,,,,,,
通貨オプション　リスクリバーサル　ドル円の円コールオーバー拡大,2009年6月1日（月）12:07:00,"ドル円　1.95-2.25　円コールオーバー
ユーロ円　1.45-1.75　円コールオーバー
ポンド円　1.75-2.05　円コールオーバー

先週末の水準と比較して、クロス円の円コールオーバーは若干縮小。一方でドル円の円コールオーバー円高・ドル安推移を受けて2％挟みまで拡大。

※リスクリバーサルとは
同じ権利行使期日、取引金額、25％デルタのコールとプットを反対売買したときの差額をあらわしたもの。理論上はコールとプットの価格は一致するが、実際のマーケットでは通貨の需給に偏りがあるため、差額が生じる。",,,,,,,,,,,,,,
バルチック海運指数=05/29時点=,2009年6月1日（月）12:20:00,"バルチック海運指数
3494（前日比：5.94%）
ハンディマックス・インデックス
864（前日比：-0.12%）
パナマックス・インデックス
2900（前日比：4.92%）
ケープサイズ・インデックス
2734（前日比：14.87%）

＊バルチック海運指数はハンディマックス、パナマックス、ケープサイズなど船舶のサイズごとの海上運賃指数をまとめた総合指数。",,,,,,,,,,,,,,
通貨オプション　ボラティリティー、ドル安続くも目立って変わらず,2009年6月1日（月）12:40:00,"USD/JPY　　EUR/USD　　EUR/JPY　　GBP/USD
1WK　　　　15.73　　　　16.26　　　　17.51　　　　16.51
1MO　　　　15.04　　　　15.45　　　　17.50　　　　16.00
3MO　　　　14.86　　　　15.35　　　　17.60　　　　15.70
6MO　　　　14.66　　　　15.25　　　　17.70　　　　15.50
9MO　　　　14.53　　　　15.25　　　　17.75　　　　15.30
1YR　　　　14.45　　　　15.25　　　　17.85　　　　15.10

　　　　　　　　　
　　　GBP/JPY　　AUD/USD　　USD/CHF
1WK　　　　19.12　　　　20.01　　　　15.86
1MO　　　　19.11　　　　19.75　　　　15.05
3MO　　　　19.51　　　　19.00　　　　14.65
6MO　　　　19.74　　　　18.55　　　　14.42
9MO　　　　19.83　　　　18.30　　　　14.37
1YR　　　　19.96　　　　18.10　　　　14.35
東京時間11:15現在　参考値

ドル安の流れが続く中、ユーロドル1weekは16％台まで上昇。ただ、先週末のロンドン市場と比較して、ドル円やポンドドルのボラはほぼ変わらず。クロス円のボラも横ばい。",,,,,,,,,,,,,,
東京市場　明日は豪中銀金利発表、市場予想は据え置きが大勢,2009年6月1日（月）13:03:00,"豪ドル/ドルは0.80台半ばで堅調。この日発表された豪小売売上高が市場予想を下回る伸びだったことで瞬間的に売りが入る場面もあった。ただ、GM問題の悪抜け感が意識されている様子もあり株式市場が上昇、ドル安の流れも継続している。原油が7ヶ月ぶりの高値となるなど、コモディティ高も豪ドルを後押し。

明日は豪中銀金利発表が行われる。市場予想は3.00の据え置きが大勢。

AUD/USD 0.8054",,,,,,,,,,,,,,
東京市場　日経平均は上げ幅拡大、GM問題は決着との見方,2009年6月1日（月）13:20:00,"午後の東京市場は、ドル売りが収まった後、小動きとなっている。株式市場では日経平均がGM問題が決着したのとの見方から上げ幅を拡大しているが、為替市場の動きは目立たない。中国訪問中のガイトナー米財務長官が、強いドルを信じている、中国が保有するドル建て資産は安全、などと述べたものの、こちらも反応はない。ドル円は95円ちょうど付近、ユーロ円は134円台序盤で取引されている。

USD/JPY 94.97 EUR/JPY 134.26",,,,,,,,,,,,,,
通貨ペア別　売買動向,2009年6月1日（月）13:40:00,"【通貨ペア別　売買動向（単位：％）】

◆ドル円　　くりっく３６５　外為どっとコム
09/05/25　　　　55.3　　　　79.6
09/05/26　　　　53.4　　　　79.3
09/05/27　　　　53.5　　　　78.8
09/05/28　　　　49.2　　　　74.5
09/05/29　　　　53.4　　　　78.4

◆ユーロ円　くりっく３６５　外為どっとコム
09/05/25　　　　48.8　　　　59.4
09/05/26　　　　49.9　　　　61.4
09/05/27　　　　50.5　　　　61.0
09/05/28　　　　38.0　　　　46.5
09/05/29　　　　40.6　　　　47.9

◆ポンド円　くりっく３６５　外為どっとコム
09/05/25　　　　27.9　　　　37.2
09/05/26　　　　25.6　　　　34.8
09/05/27　　　　27.4　　　　32.8
09/05/28　　　　28.2　　　　33.4
09/05/29　　　　32.0　　　　36.6

◆豪ドル円　くりっく３６５　外為どっとコム
09/05/25　　　　72.3　　　　74.8
09/05/26　　　　69.2　　　　73.6
09/05/27　　　　70.0　　　　74.6
09/05/28　　　　60.7　　　　66.0
09/05/29　　　　63.0　　　　68.6

◆NZドル円　くりっく３６５　外為どっとコム
09/05/25　　　　81.1　　　　83.7
09/05/26　　　　80.5　　　　83.5
09/05/27　　　　80.8　　　　83.6
09/05/28　　　　77.1　　　　81.6
09/05/29　　　　76.6　　　　80.7

（注）売買動向＝買いポジション残高÷全ポジション残高
（資料）株式会社東京金融取引所、株式会社外為どっとコム",,,,,,,,,,,,,,
海外市場の注目ポイント（米ISM製造業景気指数）,2009年6月1日（月）14:02:00,"＊ISM製造業景気指数（5月）23:00
予想　42.0　前回　40.1

市場は5ヶ月連続で企業景況感が改善すると見通している。ただ、景気判断の分岐点である50は下回ったまま。GM問題もあって製造業の景況感改善がそがれる可能性もあり、景況感の改善がすんなりと続くか注目。",,,,,,,,,,,,,,
NY原油・金　原油は67ドル台へ上昇、11月5日以来,2009年6月1日（月）14:16:00,"東京時間14:13現在
東京金先物2010年4月限（TOCOM）
1グラム＝3026.00（+7.00　+0.23%）
NY金先物8月限（COMEX）（時間外取引）
1オンス＝986.70（+6.40　+0.65%）
東京時間14:13現在
NY原油先物7月限（WTI）（時間外取引）
1バレル＝67.15（+0.84　+1.27%）",,,,,,,,,,,,,,
アジア株 台湾加権指数は9ヶ月ぶりの高値,2009年6月1日（月）14:36:00,"東京時間14:21現在
香港ハンセン指数　　 18674.60（+503.60　+2.77%）
中国上海総合指数　 2710.30（+77.37　+2.94%）
台湾加権指数　　　　 6930.74（+40.30　+0.58%）
韓国総合株価指数　 1408.90（+13.01　+0.93%）
豪ASX200指数　　　 3887.20（+69.10　+1.81%）
インドSENSEX30種　 14809.16（+183.91　+1.26%）
シンガポールST指数　 2373.80（+44.72　+1.92%）
クアラルンプール　総合指数　 1059.93（+15.82　+1.52%）

午後のアジア株式市場は引き続き堅調に推移。
インド市場も上昇して始まっており、金融株や石油関連株を中心に上昇して取引が始まった。インド石油化学製品のリアイランス・インダストリーズが2.93%高となっている。台湾加権指数は9ヶ月ぶりの高値で終了した。自動車株が買われた。",,,,,,,,,,,,,,
テクニカルポイント　ドル円、週足基準線がサポート,2009年6月1日（月）14:49:00,"99.35　ボリンジャーバンド　2σ上限（21日間）
98.27　一目均衡表・雲（上限）
97.15　200日移動平均
96.80　一目均衡表・基準線
96.32　21日移動平均
96.22　エンベロープ1%上限（10日間）
95.99　一目均衡表・雲（下限）
95.60　100日移動平均
95.55　一目均衡表・転換線
95.27　10日移動平均
95.27　現値
94.32　エンベロープ1%下限（10日間）
93.29　ボリンジャーバンド　2σ下限（21日間）

ドル円は95円台前半で推移。一目均衡表（週足）では、ローソクと雲、ローソクと遅行線の位置関係が、反発一巡以降、ドル円の反落の手掛かりとなった様子。ただ、今のところ遅行線はローソクの水準を突破しているほか、最近数週間は基準線の水準がサポートとなっている。サポートが崩れる可能性を意識しつつも、同時に、もみ合うシナリオも想定すべきか。",,,,,,,,,,,,,,
日経平均　大引け　155.25円高　9677.75円,2009年6月1日（月）15:01:00,,,,,,,,,,,,,,,
これからの予定【経済指標】,2009年6月1日（月）15:20:00,"【ユーロ圏】
＊ドイツ製造業PMI・確報値（購買担当者指数）（5月）16:55
予想　39.1　前回　39.1

＊ユーロ圏製造業PMI・確報値（購買担当者指数）（5月）17:00
予想　40.5　前回　40.5

【イギリス】
＊CIPS製造業PMI（購買担当者指数）（5月）17:30
予想　44.0　前回　42.9

【香港】
＊小売売上高（4月）17:30
予想　-6.5%　前回　-7.7%（価額ベース・前年比）
予想　-7.2%　前回　-9.3%（数量ベース・前年比）

【アメリカ】
＊PCEコアデフレータ（4月）21:30
予想　0.2%　前回　0.2%（前月比）
予想　1.9%　前回　1.8%（前年比）

＊PCEデフレータ（4月）21:30
予想　0.4%　前回　0.6%（前年比）

＊個人支出（4月）21:30
予想　-0.2%　前回　-0.2%（前月比）

＊個人所得（4月）21:30
予想　-0.2%　前回　-0.3%（前月比）

＊ISM製造業景気指数（5月）23:00
予想　42.0　前回　40.1

＊建設支出（4月）23:00
予想　-1.5%　前回　0.3%（前月比）

【カナダ】
＊GDP（3月）21:30
予想　-0.3%　前回　-0.1%（前月比）

＊GDP（第1四半期）21:30
予想　-6.5%　前回　-3.4%（前期比年率）

＊鉱工業製品価格（4月）21:30
予想　0.1%　前回　0.3%（前月比）

＊原材料価格指数（4月）21:30
予想　6.5%　前回　12.1%（前月比）",,,,,,,,,,,,,,
これからの予定【発言・イベント】,2009年6月1日（月）15:24:00,"ニュージーランドは女王誕生日で休場
ガイトナー米財務長官　訪中（2日まで）
米ゼネラル・モーターズ（GM）　労組や債権者との合意期限",,,,,,,,,,,,,,
米株価指数先物　時間外取引　急伸、上げ幅100ドル超える,2009年6月1日（月）15:31:00,"東京時間15:27現在
ダウ平均先物6月限　8589.00（+101.00　+1.16%）
S&P500;先物6月限　930.10（+12.00　+1.31%）
NASDAQ100先物6月限　1448.00（+12.50　+0.87%）

時間外取引の米株価指数先物が上げ幅を拡大している。ダウ平均先物は15時過ぎから急伸し、現在は100ドル超の上昇を演じている。東京市場では米政府高官の話として経営再建中のGMが1日に破産法11条を申請するとの情報が伝わっている。米政府とカナダ政府は共同でGMに短期資金を融資する見通し。これで悪材料出尽くしとの見方も出ているようだ。",,,,,,,,,,,,,,
日本株　概況　後場にかけて一段高、悪材料出尽くしで,2009年6月1日（月）15:47:00,週明けの東京株式市場は続伸。日経平均は小安く始まったが、寄り付き直後の売りが一巡すると買い優勢に転じ、後場にかけて一段高となった。日経平均の大引けは155.25円高の9677.75円。終値で約8ヶ月ぶりの高値を記録した。経営再建中のGMが1日中に破産法を申請すると報じられたことで悪材料出尽くしとの見方が広がった。,,,,,,,,,,,,,,
ロンドン市場　ドル全面安へ、ポンドドルは7ヶ月ぶり高値,2009年6月1日（月）16:00:00,"ロンドン時間早朝はドル売りが先行している。ポンドドルは1.62台後半まで買われ、約7ヶ月ぶりの高値を記録した。時間外取引の米株価指数先物が急伸したことでリスク志向のドル売りが強まっているようだ。ユーロドルは1.41台後半、豪ドル/ドルは0.80台後半まで値を上げている。ドル円は一時95円台を割り込むなど水準を切り下げている。

USD/JPY　95.05　EUR/USD　1.4188　GBP/USD　1.6285",,,,,,,,,,,,,,
欧州株　大幅高で始まる　鉱山株がリード,2009年6月1日（月）16:09:00,"東京時間16:08現在
英FT100　 4478.11（+60.17　+1.37%）
独DAX　　5047.75（+106.93　+2.17%）",,,,,,,,,,,,,,
ロンドン市場　ユーロ、バブル崩壊国で景況感が改善,2009年6月1日（月）16:23:00,"先ほど5月のスペイン及びアイルランドの製造業景況感が発表された。景況感は景気判断の分岐点とされる50を大幅に下回っているが、スペインの景況感は9ヶ月ぶり、アイルランドの景況感は7ヶ月ぶりの高水準を記録した。両国とも不動産バブルの崩壊で景気の急速な悪化が問題となっていた。このあと、16時55分にはドイツの製造業PMI・確報値、17時にはユーロ圏の製造業PMI・確報値が発表される。景況感改善に対するユーロ固有の反応は見られないが、ユーロドルは1.42台と昨年12月以来の水準まで水準を切り上げている。

EUR/USD　1.4204",,,,,,,,,,,,,,
NY原油　時間外取引　上げ幅拡大　中国の経済指標が買い材料に,2009年6月1日（月）16:41:00,"東京時間16:39現在
NY原油先物7月限（WTI）（時間外取引）
1バレル＝67.60（+1.29　+1.95%）

1日のNY原油先物、時間外取引は堅調に推移している。日本時間昼過ぎには昨年11月以来の67ドル台に乗せた。その後上げ幅を拡大し、68ドルが視野に入ってきている。原油相場は上昇トレンドで、先月は15ドル上昇している。今月もこの勢いが続くか。

中国の製造業PMIが拡大-縮小の分岐点である50を上回ったことが相場をサポートしている。このほか、クゥエート石油相の発言も材料視。石油相は「9月のOPEC総会では減産することはないだろう」「70-75ドルの石油価格に満足」との見解を示していた。",,,,,,,,,,,,,,
ユーロ圏経済指標【ドイツ製造業PMI】,2009年6月1日（月）16:55:00,"＊ドイツ製造業PMI・確報値（購買担当者指数）（5月）16:55
結果　39.6
予想　39.1　前回　39.1",,,,,,,,,,,,,,
ユーロ圏経済指標【ユーロ圏製造業PMI】,2009年6月1日（月）17:00:00,"＊ユーロ圏製造業PMI・確報値（購買担当者指数）（5月）17:00
結果　40.7
予想　40.5　前回　40.5",,,,,,,,,,,,,,
ロンドン市場　ユーロ、景況感改善に反応薄,2009年6月1日（月）17:15:00,"先ほど発表されたドイツ及びユーロ圏の景況感は市場予想を上回ったが、ユーロ相場固有の反応は見られない。ドル安を背景にユーロドルは上伸しているが、ユーロポンドはポンド買い圧力に押され、水準を切り下げている。このあと17時30分には5月の英製造業PMIが発表される。

EUR/USD　1.4243　EUR/GBP　0.8674",,,,,,,,,,,,,,
NY金　時間外取引　堅調　990ドル視野に,2009年6月1日（月）17:17:00,"NY金先物8月限（COMEX）（時間外取引）
東京時間17:17現在
1オンス＝988.70（+8.40　+0.86%）

1日の金相場はドル相場が堅調に推移する中、上げ幅を拡大し988ドル台に載せた。特に目立った材料は確認されていない。金相場は原油相場と同じく上昇トレンドを描いており、2月以来となる1000ドルの大台乗せにも現実味が出てきている。

日本時間午前には米GMの破産法適用申請が報道されたが、市場では既に織り込み済みで反応は軽微だった。",,,,,,,,,,,,,,
香港経済指標【小売売上高】,2009年6月1日（月）17:30:00,"＊小売売上高（4月）17:30
結果　-4.4%
予想　-6.5%　前回　-7.7%（価額ベース・前年比）
結果　-5.5%
予想　-7.6%　前回　-9.3%（数量ベース・前年比）",,,,,,,,,,,,,,
