head,date,text,イベント,景気,物価,金利,マネーサプライ,貿易収支,雇用,個人消費,介入,要人発言,他通貨,石油,政治,株,債権
NY市場　他金融市場　3時台　原油急伸、40ドル回復,2009年1月1日（木）03:08:00,"NY株式31日（NY時間13:08）
ダウ平均　　　8780.62（+112.23　+1.32%）
S&P500;　　　　902.11（+11.47　+1.32%）
ナスダック　　　1575.20（+24.50　+1.62%）

CME日経平均先物　9205（大証終比：+455　+5.15%）

出来高（億株）
NYSE　　　　3.85
ナスダック　6.63

欧州株式31日終値
英FT100　 4434.17（+41.49　+0.94%）
独DAX　　4810.20（休場）
仏CAC40　 3217.97（+0.84　+0.03%）

米国債利回り（NY時間13:08）
2年債　 　0.756（+0.031）
10年債　　2.244（+0.191）
30年債　　2.689（+0.134）

各国10年債
ユーロ圏　2.951（+0.002）
英　国　　3.024（-0.065）
カナダ　　2.691（+0.035）
豪　州　　3.992（-0.020）
日　本　　1.174（休場）

NY原油・金
NY原油先物2月限（WTI）（NY時間13:08）
1バレル＝40.84（+1.81　+4.64%）
NY金先物2月限（COMEX）
1オンス＝876.90（+6.90　+0.79%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,,
NY市場　オセアニア通貨　保合い放れで一段高,2009年1月1日（木）03:21:00,"薄商いの中、オセアニア通貨が買われている。豪ドル円は64円乗せ、NZドル円は53円乗せと大きく買われた。いずれも12月下旬の保合い相場を放れ、一段高となっている。NY勢参加後、豪ドル円は約2円、NZドル円は約1円半の上昇を演じた。

AUD/JPY　64.00　NZD/JPY　53.10",,,,,,,,,,,,,,,
NY金　終値　1.6％高,2009年1月1日（木）03:45:00,"NY金先物2月限（COMEX）（終値）
1オンス＝884.30（+14.30　+1.64%）",,,,,,,,,,,,,,,
NY市場　他金融市場　4時台　ダウ上げ幅拡大、米財務省が企業支援を表明,2009年1月1日（木）04:06:00,"NY株式31日（NY時間14:05）
ダウ平均　　　8797.98（+129.59　+1.49%）
S&P500;　　　　905.84（+15.20　+1.71%）
ナスダック　　　1578.86（+28.16　+1.82%）

CME日経平均先物　9210（大証終比：+460　+5.21%）

出来高（億株）
NYSE　　　　4.71
ナスダック　8.10

欧州株式31日終値
英FT100　 4434.17（+41.49　+0.94%）
独DAX　　4810.20（0.00　0.00%）
仏CAC40　 3217.97（+0.84　+0.03%）

米国債利回り（NY時間14:05）
2年債　 　0.764（+0.039）
10年債　　2.221（+0.167）
30年債　　2.683（+0.128）

各国10年債
ユーロ圏　2.951（+0.002）
英　国　　3.020（-0.069）
カナダ　　2.691（+0.035）
豪　州　　3.992（-0.020）
日　本　　1.175（+0.001）

NY原油・金
NY原油先物2月限（WTI）（NY時間14:05）
1バレル＝43.91（+4.88　+12.50%）
NY金先物2月限（COMEX）
1オンス＝882.30（+12.30　+1.41%）

*CME日経平均先物は20分遅れ
　
NY原油先物2月限（WTI）（終値）
1バレル＝39.03（0.00　0.00%）
NY金先物2月限（COMEX）（終値）
1オンス＝884.30（+14.30　+1.64%）",,,,,,,,,,,,,,,
米財務省　自動車産業支援で方針を示す,2009年1月1日（木）04:21:00,先ほど米財務省が自動車産業支援で方針を示した。米財務省は自動車会社本体、自動車金融会社のほか、自動車産業で重要とされる企業も支援する可能性があると述べた。,,,,,,,,,,,,,,,
NY債券　株高で売られる、利回り上昇,2009年1月1日（木）04:55:00,"米国債利回り（NY時間14:52）
2年債　 　0.764（+0.039）
10年債　　2.212（+0.159）
30年債　　2.683（+0.128）

31日のNY債券市場は下落。利回りは上昇した。朝方は揉み合いで推移したが、株高で利益確定売りが膨らんだ。長期債が売られ、イールドカーブはベア・スティープ化した。2-10年債の利回り格差は+145（前日：+135）に拡大。きょうは日本時間4時までの短縮取引。

2008年の債券市場は年央をピークに利回りが急低下した。2年債利回りは6月の3.1%台から0.6%割れ寸前、10年債利回りは6月の4.2%台から2%割れ寸前まで低下した。金融危機の深刻化で債券買いが加速した1年だった。",,,,,,,,,,,,,,,
NY原油　終値　14.2％高,2009年1月1日（木）05:00:00,"NY原油先物2月限（WTI）（終値）
1バレル＝44.60（+5.57　+14.27%）",,,,,,,,,,,,,,,
NY市場　他金融市場　5時台　ダウ平均、150ドル高に迫る,2009年1月1日（木）05:05:00,"NY株式31日（NY時間15:04）
ダウ平均　　　8816.46（+148.07　+1.71%）
S&P500;　　　　907.64（+17.00　+1.91%）
ナスダック　　　1583.08（+32.38　+2.09%）

CME日経平均先物　9210（大証終比：+460　+5.21%）

出来高（億株）
NYSE　　　　5.81
ナスダック　9.97

欧州株式31日終値
英FT100　 4434.17（+41.49　+0.94%）
独DAX　　4810.20（休場）
仏CAC40　 3217.97（+0.84　+0.03%）

米国債利回り（NY時間15:04）
2年債　 　0.764（+0.039）
10年債　　2.212（+0.159）
30年債　　2.683（+0.128）

各国10年債
ユーロ圏　2.951（+0.002）
英　国　　3.020（-0.069）
カナダ　　2.691（+0.035）
豪　州　　3.992（-0.020）
日　本　　1.175（休場）

NY原油・金
NY原油先物2月限（WTI）（NY時間15:04）
1バレル＝43.74（+4.71　+12.07%）
NY金先物2月限（COMEX）
1オンス＝881.70（+11.70　+1.34%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,,
NY原油・金　急反発、在庫統計で買い戻し加速,2009年1月1日（木）05:30:00,"NY原油先物2月限（WTI）（終値）
1バレル＝44.60（+5.57　+14.27%）
NY金先物2月限（COMEX）（終値）
1オンス＝884.30（+14.30　+1.64%） 

31日のNY原油先物相場は上昇。2月限は週間石油在庫統計発表後、買い戻しが加速。一時45ドル台を回復するなど急反発した。在庫統計では原油在庫が予想外の増加を示す一方、ガソリン在庫の増加が予想より小幅にとどまった。株高や年末で薄商いだったことも上昇に寄与した。金先物は反発。原油高の流れに追随した。",,,,,,,,,,,,,,,
NY時間に伝わった発言・ニュース,2009年1月1日（木）06:00:00,"【経済指標結果】
【アメリカ】
＊MBA住宅ローン申請指数（12月27日までの週）21:00
結果　0.0%
予想　N/A　前回　48.0%

＊新規失業保険申請件数（12月27日までの週）22:30
結果　492千人
予想　575千人　前回　586千人

【発言・ニュース】
＊米財務省
自動車会社本体、自動車金融会社、自動車産業で重要とされる企業を支援する可能性。
（自動車産業支援のガイドラインで）",,,,,,,,,,,,,,,
NY株式　終値　ダウ平均は108ドル高,2009年1月1日（木）06:22:00,"NY株式31日（NY時間16:22）
ダウ平均　　　8776.39（+108.00　+1.25%）
S&P500;　　　　903.25（+12.61　+1.42%）
ナスダック　　　1577.03（+26.33　+1.70%）

CME日経平均先物　9140（大証終比：+390　+4.42%）

出来高（億株）
NYSE　　　　13.13
ナスダック　15.91",,,,,,,,,,,,,,,
NY株式　ダウ平均、年間で33.8％安,2009年1月1日（木）06:51:00,"NY株式31日（NY時間16:52）
ダウ平均　　　8776.39（+108.00　+1.25%）
S&P500;　　　　903.25（+12.61　+1.42%）
ナスダック　　　1577.03（+26.33　+1.70%）

CME日経平均先物　9140（大証終比：+390　+4.42%）

出来高（億株）
NYSE　　　　13.13
ナスダック　16.09

31日のNY株式市場は上昇。ダウ平均は前日比108ドル高と続伸した。前週の新規失業保険申請件数が大幅に低下したことや財務省の自動車支援策が広範囲に渡るとの見方から買われた。

ダウ採用銘柄では30銘柄中25銘柄が上昇。産業関連株や金融株を中心に買い戻しが膨らんだ。一方、きのう買われたGMは15.7%安と急落。傘下の金融会社GMACの債務圧縮が目標を下回ったため、取引開始直後から売りが先行した。

2008年のダウ平均は年間で33.8%安となった。今年は金融危機の深刻化で採用銘柄の殆どが下落した。採用銘柄の年初来騰落率をみると、30銘柄中28銘柄が下落。GMは87.1%安、シティGは77.2%安、アルコアは69.1%安だった。一方、不況耐性を武器にウォルマート、マクドナルドは上昇。ウォルマートは17.9%高、マクドナルドは5.5%高だった。

ダウ採用銘柄
J&J;　　　　　　　59.83（+0.66　+1.12%）
P&G;　　　　　　　61.82（+0.70　+1.15%）
デュポン　　　　　25.30（+0.19　+0.76%）
ボーイング　　 　42.67（+1.42　+3.44%）　
キャタピラー　　 44.67（+1.01　+2.31%）　
ユナイテッド　　 53.60（+0.56　+1.06%）　
アルコア　　　 　11.26（+0.57　+5.33%）　
HP　　　　　　 　36.29（+0.10　+0.28%）　
GE　　　　　 　　16.20（+0.38　+2.40%）　
3M　　　　　　 　57.54（+0.37　+0.65%）　
エクソンモビル　 79.83（+1.24　+1.58%）　
シェブロン　　 　73.97（+0.59　+0.80%）　
コカコーラ　　 　45.27（+0.34　+0.76%）　
ディズニー　　 　22.69（+0.21　+0.93%）　
マクドナルド　 　62.19（+0.45　+0.73%）　
ウォルマート　　56.06（+1.01　+1.83%）
ホームデポ　　　23.02（-0.09　-0.39%）
JPモルガン　　　31.53（+0.52　+1.68%）
シティG　　　　 6.71（-0.09　-1.32%）
バンカメ　　　　 14.08（+0.84　+6.34%）
アメックス　　　 18.55（+0.55　+3.06%）　
クラフト　　　　　　 26.85（+0.25　+0.94%）
IBM　　　　　　84.16（+0.61　+0.73%）
AT&T;　　　　　 28.50（+0.27　+0.96%）
ベライゾン　　　33.90（+0.67　+2.02%）
マイクロソフト　 19.44（+0.10　+0.52%）
インテル　　　 　14.66（-0.03　-0.20%）
ファイザー　　　17.71（-0.04　-0.23%）
メルク　　　　 　30.40（+0.80　+2.70%）
GM　　　　　 　3.20（-0.60　-15.79%）",,,,,,,,,,,,,,,
NY市場概況　ポンド乱高下、激動の1年に幕,2009年1月1日（木）06:58:00,31日のNY市場はポンドが乱高下を演じた。当初はポンド買い優勢で始まったが、ポンドドルの下げを機にポンド相場は急反落した。ポンドドルは1.4700付近から1.44割れ、ポンド円は133円台前半から130円台前半まで下げた。ただ、後半に入るとポンドの買い戻しが進み、ポンドドルは1.46台半ば、ポンド円は133円付近まで反発した。市場ではポンドドルで米銀の大口売りが観測されていた。,,,,,,,,,,,,,,,
NY市場概況　ドル円　90円台後半まで上昇、雇用指標改善で,2009年1月1日（木）06:59:00,ドル円は90円台半ばから90円台後半まで買われた。前週の新規失業保険申請件数が大幅な低下を示したため、買い戻しが進んだ。91円付近では戻り売りに押されたが、米株式市場が底堅さを維持したため、高値圏を維持した。米労働省は新規失業保険申請件数の大幅な低下はクリスマス週による季節要因が大きいとしている。実際の雇用情勢とかけ離れている可能性も否定できない。,,,,,,,,,,,,,,,
NY市場概況　ユーロ売り一服　イベント通過で安堵感,2009年1月1日（木）07:00:00,ユーロは新規失業保険申請件数の発表後、下げ渋った。ロンドン市場ではユーロポンド主導でユーロ売りが進んだが、NY市場ではイベント通過でユーロ売りが落ち着く形となった。ユーロポンドは0.94台後半から0.96台半ば、ユーロドルは1.38台半ばから1.39台後半、ユーロ円は125円台前半から126円台後半まで買い戻された。,,,,,,,,,,,,,,,
NY市場概況　オセアニア急伸　実需買いで保ち合い放れる,2009年1月1日（木）07:01:00,NY市場ではオセアニア通貨が急伸した。ロンドンFIXにかけて実需買いが入ったことが背景。豪ドル円やNZドル円は12月下旬の保合いを放れ、取引後半にかけてジリジリと水準を切り上げた。豪ドル円は62円付近から64円台前半、NZドル円は52円付近から53円台前半まで買われた。,,,,,,,,,,,,,,,
ニュース配信　一時休止のお知らせ,2009年1月1日（木）07:15:00,"平素は弊社為替ニュースをご愛顧いただき真にありがとうございます。 

1月1日（木）及び1月2日（金）は、各国の金融市場が休場となります。
つきましてはニュース配信を下記時間帯で休止とさせていただきます。 

◆ニュース配信の休止期間 
1月1日（木）午前7時～1月2日（金）午後3時

※配信再開は1月2日（金）午後3時ごろを予定しております。 

皆様にはご不便をおかけしますが、ご理解、ご了承の程お願い申し上げます。",,,,,,,,,,,,,,,
本日の予定【経済指標】,2009年1月2日（金）15:01:00,"【香港】
＊小売売上高（11月）17:30
予想　-1.5%　前回　0.3%（前年比）
予想　-5.8%　前回　-4.3%（数量ベース・前年比）

【ユーロ圏】
＊ドイツ製造業PMI・確報値（12月）17:55
予想　33.5　前回　33.5

＊ユーロ圏製造業PMI・確報値（12月）18:00
予想　34.5　前回　34.5

【イギリス】
＊CIPS製造業PMI（12月）18:30
予想　33.6　前回　34.4

＊HBOS住宅価格（12月）19:00
予想　-1.6%　前回　-2.6%（前月比）
予想　-16.6%　前回　-14.9%（3ヶ月平均・前年比）

【アメリカ】
＊ISM製造業景気指数（12月）3日0:00
予想　35.4　前回　36.2",,,,,,,,,,,,,,,
本日の予定【発言・イベント】（特になし）,2009年1月2日（金）15:08:00,"1月2日は主要な発言・イベント予定はありません。

インドネシア、フィリピンは休場

※1月1日よりスロバキアがユーロ圏に参加、ユーロ圏16カ国に。",,,,,,,,,,,,,,,
東京市場　ピボット分析（主要国通貨）,2009年1月2日（金）15:14:00,"ピボット分析　東京時間7:00現在

ドル円
終値90.64　高値90.94　安値90.14

91.81　ハイブレイク
91.37　抵抗2
91.01　抵抗1
90.57　ピボット
90.21　支持1
89.77　支持2
89.41　ローブレイク

ユーロドル
終値1.3972　高値1.4148　安値1.3852

1.4425　ハイブレイク
1.4287　抵抗2
1.4129　抵抗1
1.3991　ピボット
1.3833　支持1
1.3695　支持2
1.3537　ローブレイク

ポンドドル
終値1.4593　高値1.4699　安値1.4354

1.5088　ハイブレイク
1.4894　抵抗2
1.4743　抵抗1
1.4549　ピボット
1.4398　支持1
1.4204　支持2
1.4053　ローブレイク

ドルスイス
終値1.0687　高値1.0742　安値1.0542

1.0972　ハイブレイク
1.0857　抵抗2
1.0772　抵抗1
1.0657　ピボット
1.0572　支持1
1.0457　支持2
1.0372　ローブレイク",,,,,,,,,,,,,,,
東京市場　ピボット分析（資源国通貨）,2009年1月2日（金）15:15:00,"ピボット分析　東京時間7:00現在

オージードル
終値0.7027　高値0.7117　安値0.6852

0.7410　ハイブレイク
0.7264　抵抗2
0.7145　抵抗1
0.6999　ピボット
0.6880　支持1
0.6734　支持2
0.6615　ローブレイク

キーウィドル
終値0.5793　高値0.5889　安値0.5737

0.6028　ハイブレイク
0.5958　抵抗2
0.5876　抵抗1
0.5806　ピボット
0.5724　支持1
0.5654　支持2
0.5572　ローブレイク

ドルカナダ
終値1.2188　高値1.2352　安値1.2106

1.2571　ハイブレイク
1.2461　抵抗2
1.2325　抵抗1
1.2215　ピボット
1.2079　支持1
1.1969　支持2
1.1833　ローブレイク",,,,,,,,,,,,,,,
東京市場　ピボット分析（クロス円）,2009年1月2日（金）15:16:00,"ピボット分析　東京時間7:00現在

ユーロ円
終値126.71　高値127.76　安値125.39

130.22　ハイブレイク
128.99　抵抗2
127.85　抵抗1
126.62　ピボット
125.48　支持1
124.25　支持2
123.11　ローブレイク

ポンド円
終値132.55　高値133.30　安値130.04

137.15　ハイブレイク
135.22　抵抗2
133.89　抵抗1
131.96　ピボット
130.63　支持1
128.70　支持2
127.37　ローブレイク

スイス円
終値84.78　高値85.63　安値84.26

86.89　ハイブレイク
86.26　抵抗2
85.52　抵抗1
84.89　ピボット
84.15　支持1
83.52　支持2
82.78　ローブレイク

豪ドル円
終値63.68　高値64.62　安値62.00

67.49　ハイブレイク
66.05　抵抗2
64.87　抵抗1
63.43　ピボット
62.25　支持1
60.81　支持2
59.63　ローブレイク

NZドル円
終値52.53　高値53.50　安値51.95

54.92　ハイブレイク
54.21　抵抗2
53.37　抵抗1
52.66　ピボット
51.82　支持1
51.11　支持2
50.27　ローブレイク

カナダドル円
終値74.37　高値74.97　安値73.35

76.73　ハイブレイク
75.85　抵抗2
75.11　抵抗1
74.23　ピボット
73.49　支持1
72.61　支持2
71.87　ローブレイク",,,,,,,,,,,,,,,
東京市場　ピボット分析（新興国通貨）,2009年1月2日（金）15:17:00,"ピボット分析　東京時間7:00現在

ランド円
終値9.52　高値9.84　安値9.49

10.09　ハイブレイク
9.97　抵抗2
9.74　抵抗1
9.62　ピボット
9.39　支持1
9.27　支持2
9.04　ローブレイク

シンガポールドル円
終値63.47　高値63.47　安値62.45

64.83　ハイブレイク
64.15　抵抗2
63.81　抵抗1
63.13　ピボット
62.79　支持1
62.11　支持2
61.77　ローブレイク

香港ドル円
終値11.71　高値11.73　安値11.63

11.85　ハイブレイク
11.79　抵抗2
11.75　抵抗1
11.69　ピボット
11.65　支持1
11.59　支持2
11.55　ローブレイク",,,,,,,,,,,,,,,
1月2日アジアタイムに発表された経済指標,2009年1月2日（金）15:43:00,"＊シンガポールGDP推定値（第4四半期）9:00
結果　-12.5%　
予想　-3.4%　前回　-5.4%（-6.3%から修正）（前期比）
結果　-2.6%
予想　-0.4%　前回　-0.3%（-0.5%から修正）（前年比）",,,,,,,,,,,,,,,
ロンドン市場　新年、ドル買いから始動,2009年1月2日（金）16:25:00,"2009年の取引が開始され、各主要通貨でドル買いの動きが強まっている。ドル円は91円手前から91.30近辺に上昇。ユーロドルは1.39台前半から1.38台前半へと軟化している。ただし、ポンドドルはアジアタイムに1.46台後半まで上昇して現在は1.45台後半と他の主要通貨と比べて底堅い。年末31日のロンドン市場でドル高方向へと調整された流れが続いている。
本日のロンドン市場ではユーロ圏、イギリスの製造業PMIが発表される。年末にポジション調整で大幅下落となったユーロポンドの動きが注目される。ユーロポンドは0.94台半ばから0.95レベルと、依然として安値水準で取引されている。

USD/JPY　91.26　EUR/USD　1.3855　GBP/USD　1.4575　
EUR/GBP　0.9505",,,,,,,,,,,,,,,
NY原油・金　時間外取引　原油41ドル台へ反落,2009年1月2日（金）16:44:00,"東京時間16:37現在
NY原油先物2月限（WTI）（時間外取引）
1バレル＝41.36（-3.24　-7.26%）
NY金先物2月限（COMEX）（時間外取引）
1オンス＝875.00（-9.30　-1.05%）

原油先物は、31日のNY市場で大きく買われていた。週間在庫統計でガソリン在庫増が予想より小幅に留まったことをきっかけに、38ドル近辺から45ドル台まで上伸した。しかし、年明け2日の時間外取引ではドル高の動きもあり、41ドル台へと大幅に反落している。年末・年初で商いが薄いことも値動きを激しくさせている。
金先物も890ドルの水準が重く、875ドル近辺へと反落している。",,,,,,,,,,,,,,,
ロンドン市場　ドル買い落ち着く、ポンドドル1.45台前半にポイント,2009年1月2日（金）17:00:00,"ロンドン市場序盤の取引、ドル買いの動きがやや落ち着いてきている。ドル円は91.20レベル、ユーロドルは1.39近辺で推移している。年末に激しい上下動を示したポンドドルも1.45台前半から1.46手前へと反発している。ポンドドルは31日の海外市場で1.4350レベルから1.4700レベルでの激しい振幅となった。このレンジの半値水準が1.4525-30レベルとなっており、サポート水準として注目されるポイント。

USD/JPY　91.22　EUR/USD　1.3898　GBP/USD　1.4581",,,,,,,,,,,,,,,
欧州株　まちまち、独DAX堅調も英FT冴えない,2009年1月2日（金）17:07:00,"東京時間17:05現在
英FT100　 4435.42（+1.25　+0.03%）
独DAX　　4859.20（+49.00　+1.04%）",,,,,,,,,,,,,,,
ロンドン市場　ユーロ買いポンド売り、欧州株まちまちで,2009年1月2日（金）17:15:00,"欧州株は独DAX指数が1％超の上昇となる一方で、英FT指数は前営業日変わらずの水準で方向性がはっきりしない。為替市場ではユーロ買いポンド売りの反応がみられ、ユーロポンドは0.9530レベルから0.9570レベルまで上昇した。ロンドン早朝には0.9430-40レベルまで売られていたが、ほぼ昨年末の終値水準まで戻したことになる。ユーロドルが1.39台乗せとなる一方で、ポンドドルは一時1.4525-30のサポートを下抜けて1.45割れとなる場面があった。引き続きユーロ・ポンドの値動きに注意が必要だ。

EUR/GBP　0.9568　EUR/USD　1.3913　GBP/USD　1.4537",,,,,,,,,,,,,,,
ロンドン市場　ユーロ円　127円近辺へ上昇,2009年1月2日（金）17:25:00,"126円台前半での揉み合いとなっていたユーロ円は、独株式市場の堅調さを好感して127円へと上昇した。ただ、31日のNY市場では127円水準がレジスタンスとなっていた。同水準にはある程度の上値抵抗があるようだ。

EUR/JPY　126.88　USD/JPY　91.15　EUR/USD　1.3917",,,,,,,,,,,,,,,
香港経済指標【小売売上高】,2009年1月2日（金）17:31:00,"＊小売売上高（11月）17:30
結果　1.1%
予想　-1.5%　前回　0.3%（前年比）
結果　-2.8%
予想　-5.8%　前回　-4.3%（数量ベース・前年比）",,,,,,,,,,,,,,,
まもなく独欧製造業PMIの発表,2009年1月2日（金）17:47:00,"東京時間17:55にドイツ製造業PMI、18:00にユーロ圏製造業PMIが発表される。今回発表されるのはいずれも12月分の確報値となる。予想および速報値は以下のとおり。

＊ドイツ製造業PMI・確報値（12月）17:55
予想　33.5　前回　33.5

＊ユーロ圏製造業PMI・確報値（12月）18:00
予想　34.5　前回　34.5

市場予想はいずれも速報値と同様の低水準が続くとの見通し。ロンドン市場では、ユーロ対ポンド相場が中心となっており、指標の影響をウォッチしたい。",,,,,,,,,,,,,,,
ユーロ圏経済指標【ドイツ製造業PMI】,2009年1月2日（金）17:56:00,"＊ドイツ製造業PMI・確報値（12月）17:55
結果　32.7
予想　33.5　前回　33.5",,,,,,,,,,,,,,,
ユーロ圏経済指標【ユーロ圏製造業PMI】,2009年1月2日（金）18:01:00,"＊ユーロ圏製造業PMI・確報値（12月）18:00
結果　33.9
予想　34.5　前回　34.5",,,,,,,,,,,,,,,
ロンドン市場　独欧製造業PMIはいずれも下方改定,2009年1月2日（金）18:09:00,"12月のドイツ製造業PMIは32.7と過去最低水準だった。また、12月ユーロ圏製造業PMIも33.9と11年来の低水準を記録した。指標発表前後の時間帯にはユーロは堅調な動きをみせていたが、指標結果で上昇力が鈍ってきている。この後は18:30に英製造業PMIおよびHBOS住宅価格など英経済指標が発表される。

EUR/USD　1.3952　EUR/JPY　127.11　EUR/GBP　0.9567",,,,,,,,,,,,,,,
まもなく英CIPS製造業PMIの発表,2009年1月2日（金）18:19:00,"東京時間18:30に12月の英CIPS製造業PMIが発表される。予想および前回値は以下のとおり。

＊CIPS製造業PMI（12月）18:30
予想　33.6　前回　34.4

市場予想は33.6と前回11月の34.4から一段と低下する見方になっている。予想通りとなれば2006年2月の算出開始時からの最低水準を記録することになる。",,,,,,,,,,,,,,,
