head,date,text,景気,物価,金利,マネーサプライ,,,,,,,,,,
NY市場　午後に入ってドル高の動き、ユーロドルは1.32台前半まで下落,2009年4月1日（水）02:13:00,"NY午後はドル高の動き。ドル円は99.30台まで、ユーロドルは1.32台前半までドル高推移。ドルカナダは1.26台前半まで上昇し、この日の高値を更新。クロス円はドル円の円安推移にサポートされているものの、上値は限定的。米株式市場で主要株価指数がこの日の高値を更新しているが、特に反応は見られない。

プロッサー・フィラデルフィア連銀総裁の発言が伝えられている。FRBの金融機関の監視権限の拡大について述べているほか、景気が改善すればFRBのバランスシートも物価安定のため縮小する必要があるとしている。

EUR/USD 1.3235 USD/JPY 99.30 USD/CAD 1.2622",,,,,,,,,,,,,,
NY市場　クライスラー・フィナンシャル、2％の人員削減,2009年4月1日（水）02:28:00,"米自動車大手クライスラーの金融部門、クライスラー・フィナンシャルの人員削減報道が出ている。同社は従業員の2％を削減するとのこと。従業員数は約3500人で、今回の解雇はこれまでのコスト削減の一貫としている。
ドル円は99.20水準で上げ一服、全般的なドル高の動きもおさまった。クロス円は相変わらず高値もみ合いで、NY午後は動意が欠けている。

USD/JPY 99.16",,,,,,,,,,,,,,
NY金　終値　0.8％高,2009年4月1日（水）02:48:00,"NY金先物6月限（COMEX）（終値）
1オンス＝925.00（+7.30　+0.80%）",,,,,,,,,,,,,,
NY市場　他金融市場　3時台　米株高値圏で推移、原油底堅い,2009年4月1日（水）03:08:00,"NY株式31日（NY時間14:06）
ダウ平均　　　7673.43（+151.41　+2.01%）
S&P500;　　　　804.16（+16.63　+2.11%）
ナスダック　　　1542.07（+40.27　+2.68%）

CME日経平均先物　8430（大証終比：+310　+3.77%）

出来高（億株）
NYSE　　　　6.46
ナスダック　11.81

欧州株式31日終値
英FT100　 3926.14（+163.23　+4.34%）
独DAX　　4084.76（+95.53　+2.39%）
仏CAC40　 2807.34（+88.00　+3.24%）

米国債利回り（NY時間14:06）
2年債　 　0.828（-0.016）
10年債　　2.703（-0.009）
30年債　　3.574（-0.024）

各国10年債
ユーロ圏　2.994（-0.032）
英　国　　3.166（-0.014）
カナダ　　2.786（-0.037）
豪　州　　4.423（-0.037）
日　本　　1.353（+0.014）

NY原油・金
NY原油先物5月限（WTI）（NY時間14:06）
1バレル＝49.20（+0.79　+1.63%）
NY金先物6月限（COMEX）時間外取引
1オンス＝924.20（+6.50　+0.71%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,
NY市場　値動き穏やか、豪ドル/ドルは引き続き堅調,2009年4月1日（水）03:21:00,"豪ドル/ドルが引き続き堅調ながら、NY午後は売買見送りムードが強まっている。ポンドドルは1.43台前半でこの日のレンジを引き継いでいる。ユーロドルは下げ一服となり、1.32台後半で推移。ドル円は99円ちょうどを挟んでもみ合い。

AUD/USD 0.6954 EUR/USD 1.3265 GBP/USD 1.4331",,,,,,,,,,,,,,
NY市場　ダウ平均は200ドル近い上げ幅、ドル安を後押し,2009年4月1日（水）03:48:00,"米株式市場ではダウ平均が200ドル近い上げ幅となっている。バンカメなど一部企業の業績に楽観論が出ているほか、アルコア買収の思惑も押し上げ要因。

外為市場では円売りよりもドル売りの反応が見られ、ユーロドルは1.3300ちょうど付近まで、ポンドドルは1.43台中盤までドル安推移。ポンドドルはこの日の高値に顔合わせ。

EUR/USD 1.3291 GBP/USD 1.4358",,,,,,,,,,,,,,
NY原油　終値　2.5％高,2009年4月1日（水）04:04:00,"NY原油先物5月限（WTI）（終値）
1バレル＝49.66（+1.25　+2.58%）",,,,,,,,,,,,,,
NY市場　他金融市場　4時台　株価上昇、ダウ平均一時200ドル高,2009年4月1日（水）04:10:00,"NY株式31日（NY時間15:04）
ダウ平均　　　7702.66（+180.64　+2.40%）
S&P500;　　　　807.94（+20.41　+2.59%）
ナスダック　　　1548.35（+46.55　+3.10%）

CME日経平均先物　8440（大証終比：+320　+3.89%）

出来高（億株）
NYSE　　　　8.06
ナスダック　14.47

欧州株式31日終値
英FT100　 3926.14（+163.23　+4.34%）
独DAX　　4084.76（+95.53　+2.39%）
仏CAC40　 2807.34（+88.00　+3.24%）

米国債利回り（NY時間15:04）
2年債　 　0.796（-0.047）
10年債　　2.683（-0.029）
30年債　　3.554（-0.044）

各国10年債
ユーロ圏　2.994（-0.032）
英　国　　3.166（-0.014）
カナダ　　2.775（-0.048）
豪　州　　4.423（-0.037）
日　本　　1.353（+0.014）

NY原油・金
NY原油先物5月限（WTI）（NY時間15:04）
1バレル＝49.35（+0.94　+1.94%）
NY金先物6月限（COMEX）
1オンス＝921.30（+3.60　+0.39%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,
NY市場　クロス円じり高、東京市場では日銀短観が発表予定,2009年4月1日（水）04:32:00,"ユーロ円やポンド円はこの日の高値圏でじり高の動き。ドル円が高止まりしている中で、ユーロドルやポンドドルが水準を切り上げていることが背景。米株式市場は上げ一服となったものの、円安の流れは潰えていない。

1日の東京市場では日銀短観が発表される。大幅悪化が織り込まれているとはいえ、企業心理はかなり暗い。

EUR/JPY 131.72 GBP/JPY 142.37",,,,,,,,,,,,,,
NY市場　GMは6月1日までに破産法の可能性も、GMは下げ幅拡大、20％超下落,2009年4月1日（水）04:50:00,"GM関連の報道が入っている。同社は、作業部会の意向に沿った形での法廷外での処理が望ましいと考えているが、6月1日までに破産法を申請する予定で準備を進めている模様。ロイター通信が関係筋のコメントとして伝えている。検討中の破たん処理では、破綻申請後、GMの中で最も利益率の高いパーツを提供する新会社が迅速に設立されるとしている。GMは下げ幅を拡大し、20％超の下げ幅となっている。

USD/JPY 98.99",,,,,,,,,,,,,,
S&P500;種　セクター別騰落率,2009年4月1日（水）05:25:00,"S&P500;種　セクター別騰落率
△△上昇率上位△△
 工業用不動産投信     23.5％
 店舗用不動産投信     11.7％
 オフィス不動産投資信託     9.7％
 アルミ     9.7％
 他の各種金融サービス     8.8％
 マルチセクター持株会社     8％
 住宅用不動産投信     7.7％
 消費者金融     7.6％
 資産運用・資産管理     7.5％
 地方銀行     7.5％

▼▼下落率上位▼▼
 自動車製造     -9.4％
 住宅建設     -4.2％
 写真用品     -3.5％
 石油・ガス採掘     -2.9％
 タバコ     -2.7％
 紙製品     -2.6％
 石油・ガス装置・サービス     -1.8％
 金     -1.2％
 各種金属・鉱業     -0.9％
 事務用電子機器     -0.9％
ヘルスケア製品販売・サービス     -0.8％
 石炭・消耗燃料     -0.7％

＊数値は前日比％",,,,,,,,,,,,,,
NY株式　終値　ダウ平均は86ドル高,2009年4月1日（水）05:26:00,"NY株式31日（NY時間16:24）
ダウ平均　　　7608.92（+86.90　+1.16%）
S&P500;　　　　797.87（+10.34　+1.31%）
ナスダック　　　1528.59（+26.79　+1.78%）

CME日経平均先物　8300（大証終比：+180　+2.19%）

出来高（億株）
NYSE　　　　16.39
ナスダック　21.78",,,,,,,,,,,,,,
NY株式　ダウ平均は一時200ドル高も終盤に上げ幅削る、GMに破たん処理報道,2009年4月1日（水）05:33:00,"NY株式31日（NY時間16:24）
ダウ平均　　　7608.92（+86.90　+1.16%）
S&P500;　　　　797.87（+10.34　+1.31%）
ナスダック　　　1528.59（+26.79　+1.78%）

CME日経平均先物　8300（大証終比：+180　+2.19%）

出来高（億株）
NYSE　　　　16.39
ナスダック　21.78

31日の米株式市場は反発。フリードマン・ビリングス・ラムゼイがバンカメやウェルズ・ファーゴの収益見通しを引き上げたことで金融株が買い戻された。アルコアが買収されるとの観測も押し上げ要因。前日の下げを受けてハイテクも堅調だった。ただ、GMが今後2ヶ月程度の間に破産法を申請するとの報道もあり、終盤にかけて上げ幅を削った。
この日発表されたS&P;ケースシラー住宅価格、シカゴ購買部協会景気指数、CB消費者信頼感指数はいずれも弱い結果だったものの、全体的な影響は限定的。ただ、住宅建設株には売りが入った。

ダウ採用銘柄
J&J;　　　　　　　52.60（-0.41　-0.77%）
P&G;　　　　　　　47.09（-0.19　-0.40%）
デュポン　　　　　22.33（+0.40　+1.82%）
ボーイング　　 　35.58（+0.06　+0.17%）　
キャタピラー　　 27.96（+0.43　+1.56%）　
ユナイテッド　　 42.98（+0.38　+0.89%）　
アルコア　　　 　7.34（+0.65　+9.72%）　
HP　　　　　　 　32.06（-0.06　-0.19%）　
GE　　　　　 　　10.11（+0.18　+1.81%）　
3M　　　　　　 　49.72（+1.07　+2.20%）　
エクソンモビル　 68.10（-0.53　-0.77%）　
シェブロン　　 　67.24（+0.44　+0.66%）　
コカコーラ　　 　43.95（+0.03　+0.07%）　
ディズニー　　 　18.16（+0.31　+1.74%）　
マクドナルド　 　54.57（+0.65　+1.21%）　
ウォルマート　　52.10（+0.34　+0.66%）
ホームデポ　　　23.56（+0.18　+0.77%）
JPモルガン　　　26.58（+1.73　+6.96%）
シティG　　　　 2.53（+0.22　+9.52%）
バンカメ　　　　 6.82（+0.79　+13.10%）
アメックス　　　 13.63（+0.82　+6.40%）　
クラフト　　　　 22.29（+0.45　+2.06%）
IBM　　　　　　96.89（+2.37　+2.51%）
AT&T;　　　　　 25.20（+0.04　+0.16%）
ベライゾン　　　30.20（-0.02　-0.07%）
マイクロソフト　 18.37（+0.89　+5.09%）
インテル　　　 　15.05（+0.33　+2.24%）
ファイザー　　　13.62（-0.08　-0.58%）
メルク　　　　 　26.75（+0.20　+0.75%）
GM　　　　　 　1.94（-0.76　-28.15%）",,,,,,,,,,,,,,
NY原油・金　ともに反発、原油は弱い米経済指標を跳ね返す,2009年4月1日（水）05:37:00,"NY原油先物5月限（WTI）（終値）
1バレル＝49.66（+1.25　+2.58%） 
NY金先物6月限（COMEX）（終値）
1オンス＝925.00（+7.30　+0.80%） 

原油は株高で底堅い展開。この日発表されたS&P;ケースシラー住宅価格のほか、シカゴ購買部協会景気指数やCB消費者信頼感指数が弱い結果だったことで、序盤に上げ幅を消し、マイナス圏へ下落した。ただ、25日移動平均線に下値をサポートされたほか、米株高もあって終盤にかけて反発した。
金は小幅反発。ドルインデックスの反落が手掛かりとなり、金には買い戻しが入った。ただ、その他に材料も乏しく、上値も限られた。",,,,,,,,,,,,,,
NY市場　終盤は調整の動き、GM報道を嫌気した面も,2009年4月1日（水）05:50:00,"GMがチャプター11の申請準備を進展させているとの報道がある中、米株式市場が上げ幅を削って引けたこともあり、円売りやドル売りの動きは後退。ユーロ円は131円台序盤まで、ユーロドルは1.32台中盤まで押し戻された。ドル円は99円割れで推移。ポンド円は142円割れまで調整している。GMは28％安で引けた。

USD/JPY 98.99 EUR/JPY 131.20 EUR/USD 1.3251",,,,,,,,,,,,,,
（修正）NY時間に伝わった発言・ニュース,2009年4月1日（水）06:30:00,"【経済指標結果】
【ルーマニア】
＊ルーマニア中銀　20:38
政策金利を10%で据え置き（市場予想通り） 

【カナダ】
＊GDP（1月）21:30
結果　-0.7%
予想　-0.7%　前回　-1.0%（前月比） 

＊鉱工業製品価格（2月）21:30
結果　0.4%
予想　0.4%　前回　0.0%（-0.1%から修正）（前月比） 

＊原材料価格指数（2月）21:30
結果　1.7%
予想　0.6%　前回　1.5%（1.4%から修正）（前月比） 

【アメリカ】
＊シカゴ購買部協会景気指数（PMI）（3月）22:45
結果　31.4
予想　34.3　前回　34.2 

＊コンファレンスボード消費者信頼感指数（3月）23:00
結果　26.0
予想　28.0　前回　25.3（25.0から修正）

【発言・ニュース】
【アメリカ】
＊クライスラー・フィナンシャル
従業員約3,500人のうちの2％を削減。
今回の解雇はこれまでのコスト削減の一貫。

＊プロッサー・フィラデルフィア連銀総裁
FRBの金融機関の監視権限の拡大が必要。
景気改善すればFRBのバランスシートを物価安定のため縮小する必要がある。

＊GM関係筋
6月1日までに破産法を申請する予定で準備を進展。
破綻申請後、新会社が迅速に設立。

【ユーロ圏】
＊ラガルド仏財務相
我々は強いドルを必要としている。
通貨の不均衡は議論されるべきだが別のサミットを開催する必要も。
IMFは今回のサミットで追加資金が幾ら必要か明確にすべき。",,,,,,,,,,,,,,
NY市場概況　株高で円安継続、期末フローも,2009年4月1日（水）06:50:00,31日のNY市場では円安が進んだ。ロンドンフィキシングで円売りが入ったほか、米株式市場が反発となったことも円安推移をサポート。この日発表された米S&P;ケースシラー住宅価格、米シカゴ購買部協会景気指数や米CB消費者信頼感指数はいずれも市場予想を下回ったが、方向性には影響しなかった。ただ、発表直後は軽微ながら円買いの反応もあった。,,,,,,,,,,,,,,
NY市場概況　ドル円は99円台へ上昇、ロンドンフィキシングでの買いが弾みに,2009年4月1日（水）06:51:00,ドル円は98.20レベルから99.37レベルまで上昇した。四半期末のため事前からロンドンフィキシングでの円売り観測があった中、上値を伸ばした。米株式氏市場が反発したこともドル円をサポート。クロス円もドル円と同様にじり高の展開。ユーロ円は130円台中盤から131円台後半まで、ポンド円は140円台前半から142円台中盤まで上昇した。,,,,,,,,,,,,,,
NY市場概況　株高受けてドル安の動き、フィキシングでのフローも,2009年4月1日（水）06:52:00,ユーロドルは上値の重い展開。ロンドンフィキシングにかけてユーロ売りが入ったことから、1.33台中盤から1.32台前半まで反落。米株高にサポートされ、1.3300ちょうど付近まで戻した後、上値は抑えられた。ポンドドルは株高のほか、ユーロポンドの反落もあり、底堅い展開。1.42台後半から1.43台後半まで上昇した。ユーロポンドは0.93台序盤から0.92台中盤まで反落し、ロンドン序盤の上げ幅を消した。,,,,,,,,,,,,,,
NY市場概況　GMは破綻申請の準備を進展、再建計画書の提出は無しか,2009年4月1日（水）06:53:00,GMの報道が入った。同社は、作業部会の意向に沿った形での法廷外での処理が望ましいと考えているが、6月1日までに破産法を申請する予定で準備を進めている模様。ロイター通信が関係筋のコメントとして伝えた。検討中の破たん処理では、破綻申請後、GMの中で最も利益率の高いパーツを提供する新会社が迅速に設立されるとしている。ただ、チャプター11の申請前に労働組合と新たな合意が得られることを望んでいるとも伝えられた。GMは60日以内に再建計画の全面見直しが求められているが、再建計画の再提出は微妙な情勢か。,,,,,,,,,,,,,,
本日の予定【経済指標】,2009年4月1日（水）07:14:00,"【日本】
＊日銀短観（第1四半期）8:50
予想　-55　前回　-24（大企業製造業・業況判断）
予想　-52　前回　-36（大企業製造業・先行き）
予想　-25　前回　-9（大企業非製造業・業況判断）
予想　-25　前回　-14（大企業非製造業・先行き）
予想　-12.0%　前回　-0.2%（大企業全産業・設備投資）

【オーストラリア】
＊小売売上高（2月）
予想　-0.5%　前回　0.2%（前月比）

＊住宅建設許可件数（2月）9:30
予想　1.5%　前回　-3.7%（前月比）
予想　-30.0%　前回　-33.5%（前年比）

【ユーロ圏】
＊ドイツ小売売上高指数（2月）15:00
予想　0.3%　前回　-0.9%（-0.6%から修正）(前月比)
予想　-1.2%　前回　-1.3%(前年比)

＊ドイツ製造業PMI・確報値（購買担当者指数）（3月）16:55
予想　32.4　前回　32.4

＊ユーロ圏製造業PMI・確報値（購買担当者指数）（3月）17:00
予想　34.0　前回　34.0

＊ユーロ圏失業率（2月）18:00
予想　8.3%　前回　8.2%

【スイス】
＊SVME購買担当者景況指数（PMI）（3月）16:30
予想　33.0　前回　32.6

【イギリス】
＊CIPS製造業PMI（購買担当者指数）（3月）17:30
予想　35.0　前回　34.7

【アメリカ】
＊MBA住宅ローン申請指数（3月28日までの週）20:00
予想　N/A　前回　32.2%（前週比）

＊ADP雇用者数（3月）21:15
予想　663千人減　前回　697千人減（前月比）

＊ISM製造業景気指数（3月）23:00
予想　36.0　前回　35.8

＊建設支出（2月）23:00
予想　-1.9%　前回　-3.3%（前月比）",,,,,,,,,,,,,,
本日の予定【発言・イベント】,2009年4月1日（水）07:29:00,"2日
1:00　ピアナルト米クリーブランド連銀総裁　講演　「新たな規制構造に向けた対策」
2:00　フォード、3月の自動車販売台数
3:00　GM、3月の自動車販売台数
3:10　カーニー・カナダ中銀総裁　講演",,,,,,,,,,,,,,
東京市場　NZドル急落、中銀声明発表で,2009年4月1日（水）07:44:00,"NZドルが軟調。NY市場終盤にはボラードNZ中銀総裁が異例の声明を発表。NZの長期金利は過度に上昇している、景気回復は非常に緩やかになると述べたことが嫌気されている。NZドルは声明発表直後に対円、対ドルで100ポイント近い下げを演じた。

NZD/JPY　55.43　NZD/USD　0.5598",,,,,,,,,,,,,,
東京市場　ピボット分析（主要国通貨）,2009年4月1日（水）08:01:00,"東京時間6:00現在

ドル円
終値98.96　高値99.36　安値97.23

101.93　ハイブレイク
100.65　抵抗2
99.80　抵抗1
98.52　ピボット
97.67　支持1
96.39　支持2
95.54　ローブレイク

ユーロドル
終値1.3250　高値1.3342　安値1.3175

1.3503　ハイブレイク
1.3423　抵抗2
1.3336　抵抗1
1.3256　ピボット
1.3169　支持1
1.3089　支持2
1.3002　ローブレイク

ポンドドル
終値1.4324　高値1.4374　安値1.4241

1.4518　ハイブレイク
1.4446　抵抗2
1.4385　抵抗1
1.4313　ピボット
1.4252　支持1
1.4180　支持2
1.4119　ローブレイク

ドルスイス
終値1.1394　高値1.1516　安値1.1357

1.1647　ハイブレイク
1.1581　抵抗2
1.1488　抵抗1
1.1422　ピボット
1.1329　支持1
1.1263　支持2
1.1170　ローブレイク",,,,,,,,,,,,,,
"東京市場　ピボット分析（資源国通貨）
",2009年4月1日（水）08:02:00,"東京時間6:00現在

オージードル
終値0.6913　高値0.6970　安値0.6788

0.7175　ハイブレイク
0.7072　抵抗2
0.6993　抵抗1
0.6890　ピボット
0.6811　支持1
0.6708　支持2
0.6629　ローブレイク

キーウィドル
終値0.5595　高値0.5732　安値0.5586

0.5835　ハイブレイク
0.5784　抵抗2
0.5689　抵抗1
0.5638　ピボット
0.5543　支持1
0.5492　支持2
0.5397　ローブレイク

ドルカナダ
終値1.2602　高値1.2652　安値1.2504

1.2816　ハイブレイク
1.2734　抵抗2
1.2668　抵抗1
1.2586　ピボット
1.2520　支持1
1.2438　支持2
1.2372　ローブレイク",,,,,,,,,,,,,,
"東京市場　ピボット分析（クロス円）
",2009年4月1日（水）08:03:00,"東京時間6:00現在

ユーロ円
終値131.13　高値131.88　安値128.24

136.23　ハイブレイク
134.06　抵抗2
132.59　抵抗1
130.42　ピボット
128.95　支持1
126.78　支持2
125.31　ローブレイク

ポンド円
終値141.73　高値142.54　安値138.59

147.27　ハイブレイク
144.90　抵抗2
143.32　抵抗1
140.95　ピボット
139.37　支持1
137.00　支持2
135.42　ローブレイク

スイス円
終値86.85　高値87.21　安値84.51

90.57　ハイブレイク
88.89　抵抗2
87.87　抵抗1
86.19　ピボット
85.17　支持1
83.49　支持2
82.47　ローブレイク

豪ドル円
終値68.41　高値69.12　安値66.15

72.61　ハイブレイク
70.86　抵抗2
69.64　抵抗1
67.89　ピボット
66.67　支持1
64.92　支持2
63.70　ローブレイク

NZドル円
終値55.37　高値56.72　安値54.60

58.65　ハイブレイク
57.68　抵抗2
56.53　抵抗1
55.56　ピボット
54.41　支持1
53.44　支持2
52.29　ローブレイク

カナダドル円
終値78.53　高値78.94　安値77.02

81.23　ハイブレイク
80.08　抵抗2
79.31　抵抗1
78.16　ピボット
77.39　支持1
76.24　支持2
75.47　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（新興国通貨）,2009年4月1日（水）08:04:00,"東京時間6:00現在

ランド円
終値10.41　高値10.48　安値10.03

11.03　ハイブレイク
10.76　抵抗2
10.58　抵抗1
10.31　ピボット
10.13　支持1
9.86　支持2
9.68　ローブレイク

シンガポールドル円
終値64.98　高値65.27　安値63.83

67.00　ハイブレイク
66.13　抵抗2
65.56　抵抗1
64.69　ピボット
64.12　支持1
63.25　支持2
62.68　ローブレイク

香港ドル円
終値12.77　高値12.82　安値12.55

13.15　ハイブレイク
12.98　抵抗2
12.88　抵抗1
12.71　ピボット
12.61　支持1
12.44　支持2
12.34　ローブレイク",,,,,,,,,,,,,,
東京市場　様子見優勢、日銀短観を見極めへ,2009年4月1日（水）08:05:00,"ドル円は99円付近、ユーロ円は131円付近で値動きがこう着している。早朝は全般に様子見が優勢。このあと8時50分に発表される日銀短観を見極めたいとの見方が強い。短観については、製造業、非製造業とも大幅な景況感悪化が見込まれている。

USD/JPY　98.99　EUR/JPY　131.04　GBP/JPY　141.85",,,,,,,,,,,,,,
東京市場　S&P;、欧州企業の債務危機を警告,2009年4月1日（水）08:33:00,"英紙テレグラフは31日、格付け会社S&P;が欧州企業の債務危機を懸念していると報じた。景気悪化で投資適格級（BBB～A）の企業が資金繰り不安に直面する可能性があるとしている。ユーロ、ポンドなど欧州通貨への反応は限定的だが、ロンドン市場で蒸し返される可能性も否定できない。

EUR/JPY　131.33　GBP/JPY　142.19",,,,,,,,,,,,,,
